rule,K-emo_ext_confidence,K-emo_ext_lift,K-emo_ext_support,K-emo_ext_count,EMBOA_confidence,EMBOA_lift,EMBOA_support,EMBOA_count,avg_confidence,avg_lift,min_confidence,min_lift,avg_support,min_support
eda_medium meets arousal_low AND eda_medium meets hr_medium AND arousal_low equals hr_medium => eda_medium meets arousal_low AND eda_medium meets hr_medium AND eda_medium before eda_std_high AND arousal_low equals hr_medium AND arousal_low meets eda_std_high AND hr_medium meets eda_std_high,0.6667,0.6667,0.0714,2,1.0,1.0,0.0625,1,0.8333,0.8333,0.6667,0.6667,0.067,0.0625
arousal_medium is-finished-by eda_max_low AND arousal_medium meets arousal_medium AND eda_max_low meets arousal_medium => arousal_medium is-finished-by eda_max_low AND arousal_medium meets arousal_medium AND arousal_medium meets valence_medium AND eda_max_low meets arousal_medium AND eda_max_low meets valence_medium AND arousal_medium equals valence_medium,0.75,0.75,0.1071,3,0.875,0.875,0.4375,7,0.8125,0.8125,0.75,0.75,0.2723,0.1071
eda_medium meets arousal_medium AND eda_medium meets eda_max_low AND arousal_medium equals eda_max_low => eda_medium meets arousal_medium AND eda_medium meets eda_max_low AND eda_medium meets valence_medium AND arousal_medium equals eda_max_low AND arousal_medium equals valence_medium AND eda_max_low equals valence_medium,1.0,1.0,0.1071,3,0.6,0.6,0.1875,3,0.8,0.8,0.6,0.6,0.1473,0.1071
hr_high meets hr_medium AND hr_high before arousal_medium AND hr_medium meets arousal_medium => hr_high meets hr_medium AND hr_high before arousal_medium AND hr_high before valence_medium AND hr_medium meets arousal_medium AND hr_medium meets valence_medium AND arousal_medium equals valence_medium,0.8,0.8,0.1429,4,0.75,0.75,0.1875,3,0.775,0.775,0.75,0.75,0.1652,0.1429
arousal_low meets arousal_medium AND arousal_low before eda_high AND arousal_medium meets eda_high => arousal_low meets arousal_medium AND arousal_low before eda_high AND arousal_low before eda_max_high AND arousal_medium meets eda_high AND arousal_medium meets eda_max_high AND eda_high equals eda_max_high,0.5,0.5,0.0714,2,1.0,1.0,0.0625,1,0.75,0.75,0.5,0.5,0.067,0.0625
eda_std_low meets eda_high AND eda_std_low meets eda_max_high AND eda_high equals eda_max_high => eda_std_low meets eda_high AND eda_std_low meets eda_max_high AND eda_std_low meets valence_medium AND eda_high equals eda_max_high AND eda_high equals valence_medium AND eda_max_high equals valence_medium,1.0,1.0,0.1786,5,0.5,0.5,0.0625,1,0.75,0.75,0.5,0.5,0.1205,0.0625
eda_std_low meets eda_max_high AND eda_std_low meets hr_medium AND eda_max_high equals hr_medium => eda_std_low meets eda_max_high AND eda_std_low meets hr_medium AND eda_std_low meets valence_medium AND eda_max_high equals hr_medium AND eda_max_high equals valence_medium AND hr_medium equals valence_medium,1.0,1.0,0.0714,2,0.5,0.5,0.0625,1,0.75,0.75,0.5,0.5,0.067,0.0625
eda_std_medium meets eda_std_high AND eda_std_medium before eda_std_medium AND eda_std_high meets eda_std_medium => eda_std_medium meets eda_std_high AND eda_std_medium before eda_std_medium AND eda_std_medium before valence_medium AND eda_std_high meets eda_std_medium AND eda_std_high meets valence_medium AND eda_std_medium starts valence_medium,0.5,0.5,0.0714,2,1.0,1.0,0.0625,1,0.75,0.75,0.5,0.5,0.067,0.0625
hr_medium meets hr_low AND hr_medium before eda_medium AND hr_low meets eda_medium => hr_medium meets hr_low AND hr_medium before eda_medium AND hr_medium before valence_medium AND hr_low meets eda_medium AND hr_low meets valence_medium AND eda_medium equals valence_medium,0.5,0.5,0.0714,2,1.0,1.0,0.0625,1,0.75,0.75,0.5,0.5,0.067,0.0625
(arousal_high) => arousal_high meets valence_medium,0.6923,0.6923,0.6429,18,0.8,0.8,0.75,12,0.7462,0.7462,0.6923,0.6923,0.6964,0.6429
valence_low before eda_medium => valence_low before eda_medium AND valence_low before valence_medium AND eda_medium equals valence_medium,0.75,0.75,0.1071,3,0.6667,0.6667,0.125,2,0.7083,0.7083,0.6667,0.6667,0.1161,0.1071
(eda_max_low) => eda_max_low meets valence_medium,0.7143,0.7143,0.7143,20,0.6875,0.6875,0.6875,11,0.7009,0.7009,0.6875,0.6875,0.7009,0.6875
eda_medium meets eda_max_medium AND eda_medium meets eda_medium AND eda_max_medium equals eda_medium => eda_medium meets eda_max_medium AND eda_medium meets eda_medium AND eda_medium meets valence_medium AND eda_max_medium equals eda_medium AND eda_max_medium equals valence_medium AND eda_medium equals valence_medium,0.9,0.9,0.3214,9,0.5,0.5,0.3125,5,0.7,0.7,0.5,0.5,0.317,0.3125
eda_medium meets eda_medium => eda_medium meets eda_medium AND eda_medium meets valence_medium AND eda_medium equals valence_medium,0.8824,0.8824,0.5357,15,0.5,0.5,0.3125,5,0.6912,0.6912,0.5,0.5,0.4241,0.3125
hr_medium meets eda_max_high => hr_medium meets eda_max_high AND hr_medium meets valence_medium AND eda_max_high equals valence_medium,0.8333,0.8333,0.1786,5,0.5,0.5,0.125,2,0.6667,0.6667,0.5,0.5,0.1518,0.125
arousal_medium meets arousal_medium AND arousal_medium meets eda_max_high AND arousal_medium equals eda_max_high => arousal_medium meets arousal_medium AND arousal_medium meets eda_max_high AND arousal_medium meets valence_medium AND arousal_medium equals eda_max_high AND arousal_medium equals valence_medium AND eda_max_high equals valence_medium,0.6667,0.6667,0.0714,2,0.6667,0.6667,0.125,2,0.6667,0.6667,0.6667,0.6667,0.0982,0.0714
hr_medium meets eda_high AND hr_medium meets eda_max_high AND eda_high equals eda_max_high => hr_medium meets eda_high AND hr_medium meets eda_max_high AND hr_medium meets valence_medium AND eda_high equals eda_max_high AND eda_high equals valence_medium AND eda_max_high equals valence_medium,0.8333,0.8333,0.1786,5,0.5,0.5,0.0625,1,0.6667,0.6667,0.5,0.5,0.1205,0.0625
eda_std_medium before eda_std_medium => eda_std_medium before eda_std_medium AND eda_std_medium before valence_medium AND eda_std_medium starts valence_medium,0.7368,0.7368,0.5,14,0.5714,0.5714,0.25,4,0.6541,0.6541,0.5714,0.5714,0.375,0.25
eda_std_medium meets hr_medium AND eda_std_medium before eda_std_medium AND hr_medium meets eda_std_medium => eda_std_medium meets hr_medium AND eda_std_medium before eda_std_medium AND eda_std_medium before valence_medium AND hr_medium meets eda_std_medium AND hr_medium meets valence_medium AND eda_std_medium starts valence_medium,0.8,0.8,0.1429,4,0.5,0.5,0.0625,1,0.65,0.65,0.5,0.5,0.1027,0.0625
eda_std_low meets eda_high => eda_std_low meets eda_high AND eda_std_low meets valence_medium AND eda_high equals valence_medium,0.8,0.8,0.2857,8,0.5,0.5,0.0625,1,0.65,0.65,0.5,0.5,0.1741,0.0625
(valence_high) => valence_high meets eda_medium,0.5294,0.6176,0.3214,9,0.75,0.75,0.75,12,0.6397,0.6838,0.5294,0.6176,0.5357,0.3214
eda_std_medium meets eda_std_low AND eda_std_medium before eda_high AND eda_std_low meets eda_high => eda_std_medium meets eda_std_low AND eda_std_medium before eda_high AND eda_std_medium before valence_medium AND eda_std_low meets eda_high AND eda_std_low meets valence_medium AND eda_high equals valence_medium,0.6,0.6,0.1071,3,0.6667,0.6667,0.125,2,0.6333,0.6333,0.6,0.6,0.1161,0.1071
arousal_medium is-finished-by eda_max_low AND arousal_medium meets arousal_medium AND eda_max_low meets arousal_medium => arousal_medium is-finished-by eda_max_low AND arousal_medium meets arousal_medium AND arousal_medium meets eda_medium AND eda_max_low meets arousal_medium AND eda_max_low meets eda_medium AND arousal_medium equals eda_medium,0.75,0.875,0.1071,3,0.5,0.5,0.25,4,0.625,0.6875,0.5,0.5,0.1786,0.1071
hr_medium meets arousal_medium AND hr_medium meets eda_std_low AND arousal_medium equals eda_std_low => hr_medium meets arousal_medium AND hr_medium meets eda_std_low AND hr_medium meets valence_medium AND arousal_medium equals eda_std_low AND arousal_medium equals valence_medium AND eda_std_low equals valence_medium,0.6,0.6,0.1071,3,0.6,0.6,0.1875,3,0.6,0.6,0.6,0.6,0.1473,0.1071
valence_high meets eda_max_medium => valence_high meets eda_max_medium AND valence_high meets valence_medium AND eda_max_medium starts valence_medium,0.5,0.5,0.1071,3,0.7,0.7,0.4375,7,0.6,0.6,0.5,0.5,0.2723,0.1071
eda_high before arousal_medium AND eda_high before eda_max_medium AND arousal_medium equals eda_max_medium => eda_high before arousal_medium AND eda_high before eda_max_medium AND eda_high before hr_low AND arousal_medium equals eda_max_medium AND arousal_medium equals hr_low AND eda_max_medium equals hr_low,0.5714,0.5926,0.1429,4,0.6,0.6,0.1875,3,0.5857,0.5963,0.5714,0.5926,0.1652,0.1429
valence_high meets eda_std_low => valence_high meets eda_std_low AND valence_high meets valence_medium AND eda_std_low starts valence_medium,0.5,0.5,0.0714,2,0.6667,0.6667,0.25,4,0.5833,0.5833,0.5,0.5,0.1607,0.0714
eda_max_high equals valence_low => eda_max_high equals valence_low AND eda_max_high meets eda_medium AND valence_low meets eda_medium,0.6667,0.7778,0.0714,2,0.5,0.5,0.0625,1,0.5833,0.6389,0.5,0.5,0.067,0.0625
hr_medium meets eda_std_low => hr_medium meets eda_std_low AND hr_medium meets valence_medium AND eda_std_low equals valence_medium,0.5,0.5,0.1786,5,0.5714,0.5714,0.25,4,0.5357,0.5357,0.5,0.5,0.2143,0.1786
eda_std_low meets eda_high => eda_std_low meets eda_high AND eda_std_low meets eda_max_high AND eda_std_low meets valence_medium AND eda_high equals eda_max_high AND eda_high equals valence_medium AND eda_max_high equals valence_medium,0.5,0.0,0.1786,5,0.5,0.0,0.0625,1,0.5,0.0,0.5,0.0,0.1205,0.0625
